freq_hz,mag_db,phase_deg
1714.56486027,-3.2727222976,82.9506910556
1718.52298121,-2.34366155142,77.8628128019
1722.48110215,-2.25280375467,81.9071201952
1726.4392231,-2.95129011668,85.2389885143
1730.44391017,-3.54534872082,79.5550710145
1734.40203111,-6.11710676938,75.4054838549
1738.40671818,-2.11704213074,72.7537051461
1742.41140525,-2.10821763666,78.7147104575
1746.46265845,-3.44816722328,79.9957400897
1750.46734553,-1.79139709394,80.8107588647
1754.51859873,-2.481473409,75.3322900802
1758.56985193,-3.19905009318,79.2124902425
1762.62110513,-3.77058104237,76.6473205842
1766.71892446,-3.12364216106,74.919377154
1770.77017766,-2.89800742757,76.3268516947
1774.86799699,-4.27192887509,79.7328109736
1778.96581632,-3.64774943614,73.5863497114
1783.06363565,-3.51903822965,74.6367801198
1787.16145497,-5.77006183759,88.9848591782
1791.30584043,-3.92974572454,78.3771851133
1795.45022589,-2.75130870596,79.1829671711
1799.59461135,-4.25424932271,81.8126856642
1803.73899681,-1.84596122228,80.4223105788
1807.88338226,-3.10409962515,90.4171495456
1812.07433385,-2.82172614864,76.739973862
1816.26528544,-3.40823167441,78.2020376391
1820.45623702,-3.74812989286,77.5986477402
1824.64718861,-3.54465890706,75.0340130872
1828.8381402,-4.09054055548,93.7913254513
1833.07565791,-3.4814279401,78.1278275186
1837.31317563,-3.61672967338,77.8204249141
1841.55069334,-4.74907337241,79.3325208457
1845.78821106,-2.31650856428,73.4413070955
1850.02572878,-3.35960367398,73.6766001351
1854.30981262,-3.83865948959,69.5577854651
1858.59389646,-3.57079979991,77.4202221463
1862.87798031,-2.56680858712,71.8825450205
1867.16206415,-2.0178823163,87.3768221048
1871.49271413,-3.59209102709,82.9204035086
1875.8233641,-2.57182616155,72.5578215904
1880.15401407,-3.77928587363,80.7731975138
1884.48466404,-3.84974418489,82.9336912572
1888.81531402,-5.05495341086,79.376645676
1893.19253012,-5.01592025747,77.8674460562
1897.56974622,-5.05307250954,78.9991723365
1901.94696232,-4.98250769546,69.0411491712
1906.32417842,-4.28720638513,79.9362505876
1910.70139453,-3.95942193582,72.0000166153
1915.12517676,-3.46691496987,80.8646344559
1919.54895899,-4.22165810754,78.4188216603
1923.97274122,-3.25649491225,83.6471548307
1928.39652345,-5.10949188875,67.5799033164
1932.86687181,-2.86201006553,70.2493350145
1937.33722017,-3.6098104381,79.3976176824
1941.80756853,-3.51017581496,75.6026542695
1946.27791688,-3.4420674369,76.0897170422
1950.74826524,-3.5931552358,72.7532011597
1955.26517973,-2.34352781145,68.3455119778
1959.78209422,-4.02143500282,76.2478016193
1964.29900871,-6.44224901293,61.7742884193
1968.8159232,-4.03880746052,81.1255730521
1973.37940381,-5.24108187574,80.2003748234
1977.94288443,-5.52633884625,67.173304554
1982.50636505,-5.3174858208,73.8098175666
1987.06984566,-7.47740608391,84.8216000362
1991.63332628,-5.49422512224,74.1561631819
1996.24337302,-6.33505116397,69.1207985792
2000.85341977,-5.04724924788,73.4921503139
2005.46346652,-4.50355264612,71.3596197205
2010.12007939,-5.84828389764,70.9553621827
2014.73012613,-4.53832490674,72.5219031222
2019.38673901,-4.75001462646,68.2926065466
2024.04335188,-4.11776456104,72.133813915
2028.69996476,-5.5870044575,78.0306411156
2033.40314376,-5.109873073,68.7693574945
2038.10632276,-3.76579856592,75.1463609037
2042.80950177,-6.37203703155,61.2651243124
2047.51268077,-5.48018595088,72.3095637366
2052.21585977,-4.4067896817,82.2735212806
2056.9656049,-5.23209500046,74.9207059511
2061.71535004,-9.76895196208,84.8960914082
2066.46509517,-56.7592339068,8.89474450638
2071.26140643,-48.7521447572,-37.7777956496
2076.01115156,-48.5644902748,-138.053498083
2080.80746282,-10.8096145586,107.823098285
2085.60377408,-3.50736669944,72.80049744
2090.44665147,-4.75935820013,69.5502617594
2095.24296273,-3.69402015642,73.4586763634
2100.08584012,-4.27533024745,74.197841905
2104.92871751,-4.85698365379,73.4057407442
2109.7715949,-5.22513316632,85.9149395233
2114.66103841,-3.6363627056,75.7192579539
2119.55048193,-5.42251840211,81.8548915991
2124.43992545,-4.54281694789,74.8700577063
2129.32936897,-5.6985489242,91.6482923887
2134.26537861,-4.34092837788,71.9422529965
2139.15482213,-3.69635526874,69.2821662088
2144.09083178,-3.09011065111,68.8633505687
2149.07340755,-3.97985629518,84.5107121832
2154.0094172,-4.41244397791,71.2893797291
2158.99199298,-6.48418433113,70.6792050782
2163.97456875,-4.69559846212,80.8469961971
2168.95714453,-4.5387836639,72.5931427474
2173.98628643,-5.32690112361,70.9255211124
2178.96886221,-5.60153441979,96.6867685349
2183.99800411,-4.16133150544,75.9713441221
2189.02714601,-4.29929674002,80.988732478
2194.10285405,-5.78253530288,83.7350923333
2199.17856208,-5.0705798151,77.5593752437
2204.25427011,-7.55571427187,81.5944530895
2209.32997815,-5.1770466447,77.0531790324
2214.40568618,-4.77179975341,73.370888791
2219.52796034,-5.02030594942,78.3061296676
2224.6502345,-5.6792313489,75.650778077
2229.77250866,-5.57112767459,79.2082332929
2234.94134895,-5.88084563341,79.4377623987
2240.11018924,-5.67102827129,82.8348547719
2245.27902953,-4.89817709959,78.115734532
2250.44786982,-3.48289185656,71.2071699473
2255.61671012,-4.23993301719,70.6519567557
2260.83211653,-5.22062564532,71.4584170482
2266.04752295,-4.57762076986,68.4657559675
2271.26292937,-4.31899445679,76.3888073643
2276.52490192,-5.86361072705,74.5686917013
2281.78687447,-4.2753117979,79.4713611341
2287.04884702,-5.56775227796,77.1687971924
2292.31081956,-7.50258136984,82.0916060155
2297.61935824,-6.8562327896,71.2496297417
2302.92789692,-5.22543029909,72.2251397575
2308.23643559,-4.92864693567,74.1140963854
2313.54497427,-9.19324163675,93.1948834506
2318.90007907,-5.292117697,74.5599673035
