freq_hz,mag_db,phase_deg
2000.01522945,-3.31079701309,64.8029780444
2004.6252762,-3.4332816594,62.3324943932
2009.23532294,-3.30533898135,67.7501995443
2013.89193582,-3.11645834582,67.5158047237
2018.50198256,-3.21008545797,69.6826846464
2023.20516157,-2.65846902395,70.5409061611
2027.86177444,-3.4708737072,66.3830915427
2032.51838731,-2.92124051488,69.656055826
2037.22156632,-2.58918493565,68.2211136342
2041.92474532,-3.22134459788,66.3092830166
2046.62792432,-4.12845602598,65.7039729091
2051.37766945,-3.99208704358,64.669472792
2056.08084846,-3.94105766927,64.5484983667
2060.83059359,-4.0688774602,66.4421200236
2065.58033872,-3.89648167836,65.6264622402
2070.37664998,-4.16090597375,68.1649360273
2075.12639511,-3.89837442322,64.3686149442
2079.92270637,-2.95037759287,69.7062653137
2084.71901763,-4.0068938938,-158.309344863
2089.51532889,-1.54610673515,73.5092997105
2094.35820628,-3.50703708055,71.5096232819
2099.20108367,-2.02766097505,72.0440077313
2104.04396106,-3.82307516048,69.6589348449
2108.88683845,-3.40935524987,69.3321681663
2113.72971584,-3.61079511733,66.6949422644
2118.61915936,-3.61577077592,66.1381183912
2123.50860288,-3.48591390827,67.8587500743
2128.39804639,-3.89561970672,65.4199813598
2133.33405604,-3.82117367747,70.3280509611
2138.27006569,-4.23896283144,69.2511113164
2143.20607533,-3.76245661053,67.6974573079
2148.14208498,-4.07893446322,67.9327363585
2153.07809463,-3.82414690606,69.0728597897
2158.0606704,-2.98243425484,67.5710076159
2163.04324618,-3.27422084826,65.9412067483
2168.02582195,-4.2958947106,67.0381149534
2173.00839773,-4.13662934119,64.7316751105
2178.03753963,-4.04549051327,65.2982708282
2183.06668154,-4.36174089788,68.552619393
2188.09582344,-4.24182950337,68.454113777
2193.17153147,-4.56483584913,67.056048715
2198.20067338,-4.53291739316,66.3556713793
2203.27638141,-4.16511156744,66.5186425872
2208.39865557,-4.19129618832,64.9875638387
2213.4743636,-4.5928840335,65.2392978772
2218.59663777,-4.61718734723,65.4503368311
2223.71891193,-3.74247835829,63.8206004664
2228.84118609,-4.26023318191,65.7606440806
2233.96346025,-4.14183154843,65.8518264384
2239.13230054,-4.39739924662,68.3485767924
2244.30114083,-4.18694294653,71.8423563529
2249.46998112,-3.20869243005,70.128969291
2254.68538754,-3.87160888679,65.9502019928
2259.85422783,-3.9449029395,67.9501168725
2265.06963425,-4.05819049189,65.8579942551
2270.3316068,-4.24690176992,64.6849251678
2275.54701322,-3.75124363533,68.5371207229
2280.80898576,-4.26959906265,61.2900730273
2286.07095831,-4.78698588437,66.114208166
2291.33293086,-4.01301979423,64.3894688796
2296.64146954,-4.65713015358,64.6215942225
2301.90344208,-5.58311135552,63.1541746883
2307.25854689,-4.87802934295,66.2169471146
2312.56708557,-4.99602102073,66.1694823715
2317.87562424,-5.36616070984,63.1620220411
2323.23072905,-5.71892922223,64.0476573935
2328.58583385,-5.36717095715,62.111066138
2333.98750479,-5.25528410033,60.6895556163
2339.34260959,-5.50790180133,66.7026732984
2344.74428053,-5.21228611798,64.2444285467
2350.19251759,-5.00814567569,63.4636286894
2355.59418852,-5.23172685031,61.7397308137
2361.04242559,-4.99336927294,60.170145305
2366.49066265,-5.32006128707,62.9615155134
2371.93889971,-4.83638108811,61.1745442482
2377.4337029,-4.6049679174,63.1558032033
2382.88193997,-5.2122388213,62.7855121743
2388.42330929,-5.84745235767,63.8396006978
2393.91811248,-5.4849025647,66.7406323156
2399.41291567,-5.84238984216,63.1219823594
2404.95428499,-4.52166512859,63.0614197986
